setting_id,rep,seed,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,n,test_frac,alpha,B,tau,censor_rate_emp,admin_mass_emp,coverage,mean_len,sd_len
s029,17,20550230,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.1085577840331635,0.165,0.07857142857142857,0.9266666666666666,2.9246094792174673,0.1578264895138035
s029,18,20550231,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.291927740625323,0.185,0.07428571428571429,0.9033333333333333,3.089954565600261,0.2180871095651937
s029,19,20550232,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.215302292742095,0.1707142857142857,0.07857142857142857,0.8983333333333333,2.9996362769642992,0.18421700520558063
s029,20,20550233,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.19792188605036,0.17785714285714285,0.06285714285714286,0.8883333333333333,2.958447272752478,0.25406099682243216
s029,21,20550234,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.2548835668300633,0.16785714285714284,0.06785714285714285,0.9016666666666666,3.050195019636752,0.23103803348727686
s029,22,20550235,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.257327279884751,0.16142857142857142,0.07142857142857142,0.9383333333333334,3.0708130997052336,0.19171210195140742
s029,23,20550236,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.246740387743506,0.16714285714285715,0.07142857142857142,0.925,3.040271559272937,0.2198571064173921
s029,24,20550237,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.182099483472976,0.16642857142857143,0.07428571428571429,0.8816666666666667,2.9765138461155307,0.2242783229509142
s029,25,20550238,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.1495786652559112,0.1792857142857143,0.075,0.9216666666666666,2.9369851072521005,0.24141210323280246
s029,26,20550239,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.2636601865302044,0.17,0.07,0.8916666666666667,3.022426393445241,0.23948782079045255
s029,27,20550240,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.125313282469193,0.165,0.07285714285714286,0.8933333333333333,2.891026211573636,0.22282864248321554
s029,28,20550241,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.2795322543633696,0.15785714285714286,0.06285714285714286,0.9283333333333333,3.0659137285188476,0.2240167812019954
s029,29,20550242,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.1093004948222434,0.165,0.07142857142857142,0.9033333333333333,2.9093145654608015,0.20394875095878642
s029,30,20550243,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,3.4180992088636004,0.16071428571428573,0.06571428571428571,0.8966666666666666,3.1566362005968545,0.31010923270489926
s030,1,20560214,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.355854353702991,0.11285714285714285,0.015,0.945,6.160302345290865,0.21994858514426863
