scenario_id,scenario_label,scenario_description,tau_quantile,method_id,method_label,estimator_family,working_model,spec_status,is_conformal,n,test_frac,p,beta_scale,sigma,cens_target,alpha,B,n_rep,tau_mean,tau_sd,censor_rate_emp_mean,admin_mass_emp_mean,coverage_mean,coverage_sd,length_mean,length_sd,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.8,plugin_lognormal,Log-Normal Plug-in,plug-in,Log-Normal,correct,FALSE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,2.091042500326827,0.07212685966711661,0.3275,0.13011904761904763,0.8977777777777778,0.015151428073591638,1.6198129482371966,0.06521409590796094,2.0452296421327034,0.0027662596447743945,0.011906410465365185,0.8921201415544497,0.9034354140011058,1.5954616046220327,1.6441642918523605,0.9,0.0022222222222222365
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.8,plugin_weibull,Weibull Plug-in,plug-in,Weibull,misspecified,FALSE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,2.091042500326827,0.07212685966711661,0.3275,0.13011904761904763,0.9273888888888889,0.014044833340073734,1.6865962202239058,0.06785912673861667,2.0452296421327034,0.0025642240122530032,0.012389324815780775,0.9221444619299606,0.9326333158478173,1.6612572058646606,1.7119352345831509,0.9,0.027388888888888907
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.9,cp_cox,CP + Cox,conformal,Cox,misspecified,TRUE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,3.0654836286829226,0.10530407896395846,0.2588809523809524,0.05676190476190476,0.9067777777777778,0.019188185488065147,2.6391521419318473,0.10673097731866657,2.0452296421327034,0.0035032673431355187,0.01948632128733531,0.8996127915632816,0.913942763992274,2.5992981400188677,2.679006143844827,0.9,0.0067777777777777715
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.9,cp_lognormal,CP + Log-Normal,conformal,Log-Normal,correct,TRUE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,3.0654836286829226,0.10530407896395846,0.2588809523809524,0.05676190476190476,0.9045,0.016159821989839337,2.5953304344119648,0.10936582236406223,2.0452296421327034,0.0029503663430343412,0.019967375976299953,0.8984658233000755,0.9105341766999244,2.5544925651896278,2.6361683036343018,0.9,0.0044999999999999485
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.9,cp_weibull,CP + Weibull,conformal,Weibull,misspecified,TRUE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,3.0654836286829226,0.10530407896395846,0.2588809523809524,0.05676190476190476,0.9037222222222222,0.0177016749934416,2.601433790081741,0.10385428502352043,2.0452296421327034,0.0032318688998443593,0.018961111533651025,0.8971123081487737,0.9103321362956707,2.5626539627253337,2.6402136174381483,0.9,0.0037222222222221824
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.9,plugin_cox,Cox Plug-in,plug-in,Cox,misspecified,FALSE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,3.0654836286829226,0.10530407896395846,0.2588809523809524,0.05676190476190476,0.9218333333333333,0.015069125524107317,2.6712941300620665,0.10535855098921856,2.0452296421327034,0.0027512333238101454,0.019235751667617748,0.9162064293870535,0.927460237279613,2.631952600562751,2.710635659561382,0.9,0.02183333333333326
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.9,plugin_lognormal,Log-Normal Plug-in,plug-in,Log-Normal,correct,FALSE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,3.0654836286829226,0.10530407896395846,0.2588809523809524,0.05676190476190476,0.9062222222222223,0.014822922430283493,2.5965223291890664,0.10356791040313754,2.0452296421327034,0.0027062829944051892,0.0189088269204908,0.9006872520220651,0.9117571924223794,2.557849435873322,2.635195222504811,0.9,0.00622222222222224
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.9,plugin_weibull,Weibull Plug-in,plug-in,Weibull,misspecified,FALSE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,3.0654836286829226,0.10530407896395846,0.2588809523809524,0.05676190476190476,0.9419444444444445,0.012411242997615073,2.681519239226358,0.10595723633805318,2.0452296421327034,0.002265972585490604,0.019345056157752602,0.937310010144339,0.9465788787445499,2.6419541569438008,2.7210843215089153,0.9,0.04194444444444445
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.99,cp_cox,CP + Cox,conformal,Cox,misspecified,TRUE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,7.579381621460917,0.47138518687084263,0.20547619047619048,0.0025952380952380953,0.8980555555555556,0.018094490881354692,7.149882307908239,0.46977057678071815,2.0452296421327034,0.0033035869407631664,0.08576798058500398,0.8912989616189443,0.9048121494921669,6.9744670916699265,7.325297524146552,0.9,0.0019444444444444153
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.99,cp_lognormal,CP + Log-Normal,conformal,Log-Normal,correct,TRUE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,7.579381621460917,0.47138518687084263,0.20547619047619048,0.0025952380952380953,0.8986666666666666,0.01966871214766978,7.110922851076092,0.46509032238697,2.0452296421327034,0.0035909991067848736,0.08491348694956448,0.8913222488485981,0.9060110844847351,6.937255270549994,7.284590431602189,0.9,0.0013333333333334085
