setting_id,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,n,test_frac,alpha,B,n_rep,tau_mean,tau_sd,censor_rate_emp_mean,admin_mass_emp_mean,coverage_mean,coverage_sd,length_mean,length_sd,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
s021,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.1,0.97,2000,0.3,0.1,1500,30,2.3703617470693263,0.06045495685492635,0.12130952380952381,0.023547619047619046,0.897,0.01644915537782041,2.0684996517768854,0.06724917887581452,2.0452296421327034,0.003003191150779884,0.012277964081327841,0.8908577844374344,0.9031422155625657,2.043388395692713,2.093610907861058,0.9,0.0030000000000000027
s022,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.2,0.75,2000,0.3,0.1,1500,30,1.236475965162089,0.026053768133936735,0.374452380952381,0.1757142857142857,0.8970555555555556,0.01922185125768767,0.9312747635570653,0.03547972720975672,2.0452296421327034,0.003509413843614862,0.006477682308971194,0.8898779983360836,0.9042331127750276,0.9180264156864388,0.9445231114276917,0.9,0.0029444444444444162
s023,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.2,0.9,2000,0.3,0.1,1500,30,1.7476627123960857,0.028310788047478386,0.26166666666666666,0.062285714285714285,0.8961111111111111,0.017558513742715512,1.4458346215999363,0.03848168626692029,2.0452296421327034,0.0032057313510499156,0.007025762539743003,0.8895546543272297,0.9026675678949925,1.4314653237950683,1.4602039194048042,0.9,0.0038888888888889417
s024,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.2,0.97,2000,0.3,0.1,1500,30,2.348961031878549,0.06921387667358675,0.21745238095238095,0.017285714285714286,0.9012777777777777,0.01350240033530389,2.054323129839134,0.07162843449192098,2.0452296421327034,0.0024651897480370863,0.01307750311000207,0.8962358986316107,0.9063196569239448,2.027576632833475,2.081069626844793,0.9,0.001277777777777711
s025,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.35,0.75,2000,0.3,0.1,1500,30,1.2403221502601658,0.02161443825534744,0.47845238095238096,0.12354761904761905,0.9000555555555556,0.016611883143042808,0.9378079627243397,0.03106789931307784,2.0452296421327034,0.003032901040028121,0.005672196422690663,0.893852576446835,0.9062585346642762,0.9262070184646537,0.9494089069840258,0.9,5.5555555555586444e-5
s026,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.35,0.9,2000,0.3,0.1,1500,30,1.7399666016670439,0.03856339187957949,0.38702380952380955,0.0405,0.9046666666666666,0.016042329065291006,1.4471420779362412,0.038114830037945226,2.0452296421327034,0.0029289151679935503,0.006958784062419362,0.8986763625457941,0.9106569707875392,1.4329097664985804,1.461374389373902,0.9,0.004666666666666597
s027,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.35,0.97,2000,0.3,0.1,1500,30,2.369544674880035,0.06832625409334256,0.3575238095238095,0.009285714285714286,0.8929444444444444,0.015045800659878717,2.0610453764789227,0.06875737528194623,2.0452296421327034,0.0027469748057138955,0.012553321812256693,0.8873262501456066,0.8985626387432822,2.0353709506012643,2.086719802356581,0.9,0.007055555555555593
s028,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.75,2000,0.3,0.1,1500,30,1.5876644512038067,0.0606438035867488,0.3024047619047619,0.20133333333333334,0.9031111111111111,0.015261032271853507,1.3666982217635006,0.05641829676041459,2.0452296421327034,0.0027862705420361594,0.010300524597233235,0.8974125480075376,0.9088096742146846,1.3456312835277222,1.387765159999279,0.9,0.0031111111111110645
s029,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,2000,0.3,0.1,1500,30,3.2081315531687085,0.11329132970686953,0.17402380952380953,0.0716904761904762,0.9037777777777778,0.014066980803087478,2.98783437152108,0.10191358558621456,2.0452296421327034,0.0025682675672810498,0.018606789913934357,0.8985250808202465,0.9090304747353091,2.949779213244166,3.025889529797994,0.9,0.003777777777777769
s030,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,30,6.271808636906615,0.3733891401111291,0.11816666666666667,0.016976190476190475,0.8983888888888889,0.01734528397338875,6.041988728563159,0.3775730781781799,2.0452296421327034,0.0031668010995192855,0.06893509734161692,0.8919120534094136,0.9048657243683642,5.901000624096781,6.182976833029537,0.9,0.0016111111111111187
s031,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,30,1.604669453572339,0.054974604556816374,0.35583333333333333,0.15452380952380954,0.9030555555555555,0.010190553560264685,1.3808063301863907,0.05502486006583717,2.0452296421327034,0.0018605320194738496,0.010046119027208074,0.8992503403191906,0.9068607707919204,1.3602597097635514,1.40135295060923,0.9,0.003055555555555478
s032,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.9,2000,0.3,0.1,1500,30,3.19324327681183,0.09011876174027963,0.24583333333333335,0.046142857142857145,0.898,0.016634451624352155,2.9688885018045563,0.09682675087236171,2.0452296421327034,0.003037021462128709,0.017678065207575176,0.8917885936818611,0.9042114063181389,2.9327327988264686,3.005044204782644,0.9,0.0020000000000000018
s033,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.97,2000,0.3,0.1,1500,30,6.267002499527706,0.46892297910011477,0.2072857142857143,0.00788095238095238,0.8999444444444444,0.01765724826657263,6.039474570293879,0.4627298336225298,2.0452296421327034,0.0032237577263569406,0.084482522635224,0.8933511195834449,0.9065377693054439,5.866688410758172,6.212260729829586,0.9,5.5555555555586444e-5
s034,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.35,0.75,2000,0.3,0.1,1500,30,1.5936061087140385,0.050278116524284225,0.4461904761904762,0.09547619047619048,0.9034444444444445,0.015368608432764573,1.3702459667734996,0.0567503324090963,2.0452296421327034,0.0028059111720297584,0.010361145735459513,0.8977057117422179,0.9091831771466711,1.349055044388881,1.3914368891581184,0.9,0.003444444444444472
s035,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.35,0.9,2000,0.3,0.1,1500,30,3.230307335390415,0.1400295007677812,0.3747142857142857,0.019452380952380954,0.8956666666666666,0.01886938366366913,3.002666689292678,0.1386888691911839,2.0452296421327034,0.003445062359603686,0.025321007376964893,0.8886207230098095,0.9027126103235237,2.9508794144366486,3.0544539641487076,0.9,0.004333333333333411
s036,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.35,0.97,2000,0.3,0.1,1500,30,6.298252562463842,0.4515891414203116,0.3512857142857143,0.0014523809523809524,0.8951666666666667,0.01565522937859908,6.066891918801616,0.4465650213961108,2.0452296421327034,0.002858240757858767,0.08153124520380901,0.889320907944342,0.9010124253889913,5.900141799350796,6.2336420382524365,0.9,0.004833333333333356
