method_id,method_label,coverage,mean_len,sd_len,setting_id,rep,seed,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,n,test_frac,alpha,B,tau,censor_rate_emp,admin_mass_emp,train_n,test_n,split_support_n,split_fit_n
cp_cox_full,CP + Cox,0.91,1.2456110522464952,0.07633857495793014,s001,27,20270439,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4039691079298757,0.29928571428571427,0.21642857142857144,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.885,1.2221028767170845,0.07880975973729283,s001,27,20270439,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4039691079298757,0.29928571428571427,0.21642857142857144,1400,600,700,700
cp_cox_full,CP + Cox,0.9166666666666666,1.190143130264892,0.0927568023157576,s001,28,20270440,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3443697596808475,0.3057142857142857,0.20285714285714285,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9166666666666666,1.1945308573750906,0.08966217016374864,s001,28,20270440,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3443697596808475,0.3057142857142857,0.20285714285714285,1400,600,700,700
cp_cox_full,CP + Cox,0.8933333333333333,1.1696881307357576,0.08084355216666247,s001,29,20270441,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3357510236137868,0.295,0.19,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.8883333333333333,1.1640014070787028,0.08031090956308969,s001,29,20270441,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3357510236137868,0.295,0.19,1400,600,700,700
cp_cox_full,CP + Cox,0.8983333333333333,1.2364815243748066,0.09484116389218197,s001,30,20270442,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4246474206246906,0.295,0.1992857142857143,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9316666666666666,1.2770524442068667,0.07642316806112313,s001,30,20270442,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4246474206246906,0.295,0.1992857142857143,1400,600,700,700
cp_cox_full,CP + Cox,0.9066666666666666,2.088015681573747,0.07130665752217087,s002,1,20280413,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.2557106011079164,0.175,0.06785714285714285,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.895,2.077467679836436,0.07141161254446067,s002,1,20280413,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.2557106011079164,0.175,0.06785714285714285,1400,600,700,700
cp_cox_full,CP + Cox,0.9083333333333333,2.0909132552592977,0.06888217217535549,s002,2,20280414,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.25023195954649,0.15642857142857142,0.06714285714285714,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.91,2.0928682235065637,0.07573538339461083,s002,2,20280414,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.25023195954649,0.15642857142857142,0.06714285714285714,1400,600,700,700
cp_cox_full,CP + Cox,0.91,2.025394957130486,0.07656240696039839,s002,3,20280415,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.1908975595303297,0.175,0.08071428571428571,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.8983333333333333,2.006790858459627,0.09078515887945275,s002,3,20280415,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.1908975595303297,0.175,0.08071428571428571,1400,600,700,700
cp_cox_full,CP + Cox,0.8983333333333333,2.024823266987115,0.0687728025337339,s002,4,20280416,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.188454016678065,0.16785714285714284,0.075,1400,600,700,700
