setting_id,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,method_id,method_label,n,test_frac,alpha,B,n_rep,tau_mean,coverage_mean,coverage_sd,length_mean,length_sd,censor_rate_emp_mean,admin_mass_emp_mean,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
s011,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.1,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.912455341878959,0.8968333333333334,0.017155754817892666,2.7096055726606427,0.10994832308507044,0.17333333333333334,0.07311904761904763,2.0452296421327034,0.003132197968262582,0.02007372557118636,0.8904272692036149,0.9032393974630518,2.668550194094415,2.7506609512268705,0.9,0.003166666666666651
s012,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.1,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,5.391782946865262,0.8931111111111111,0.02130212036526396,5.18060942021537,0.3458502896335631,0.1195952380952381,0.017476190476190475,2.0452296421327034,0.0038892172822484194,0.06314333505066588,0.8851567686407619,0.9010654535814603,5.051466799666631,5.309752040764108,0.9,0.006888888888888944
s013,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.2,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.5056427548209994,0.9046666666666666,0.01593449233508903,1.3056175785893631,0.05397585228390574,0.36,0.16123809523809524,2.0452296421327034,0.0029092269647738103,0.009854597285487304,0.8987166294426194,0.9106167038907138,1.285462664109804,1.3257724930689223,0.9,0.004666666666666597
s014,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.2,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.904074081901906,0.897,0.01409056639396309,2.6988879459332633,0.13290889936175948,0.24723809523809523,0.04838095238095238,2.0452296421327034,0.002572573687332603,0.024265734091206546,0.8917384960380967,0.9022615039619033,2.6492589472818175,2.748516944584709,0.9,0.0030000000000000027
s015,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.2,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,5.385627223104458,0.9017222222222222,0.016897727824160647,5.176913174904037,0.32165593947248433,0.2092857142857143,0.009476190476190477,2.0452296421327034,0.003085088899958492,0.058726071268198676,0.8954125069554125,0.9080319374890319,5.05680487318032,5.297021476627754,0.9,0.0017222222222221806
s016,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.35,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.5232338304956887,0.8978333333333334,0.01695243514871136,1.313351374321158,0.05898999417370693,0.4499761904761905,0.0980952380952381,2.0452296421327034,0.0030950770451975526,0.010770050158679201,0.8915031900158108,0.904163476650856,1.2913241484893714,1.3353786001529446,0.9,0.00216666666666665
s017,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.35,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.9126823529413572,0.9034444444444445,0.01907804767101237,2.7086548193588085,0.08049911281378755,0.36916666666666664,0.021452380952380952,2.0452296421327034,0.003483159020857458,0.014697059982421535,0.8963205843667249,0.9105683045221641,2.6785959566305575,2.7387136820870595,0.9,0.003444444444444472
s018,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.35,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,5.39062124507999,0.8972222222222223,0.01630841010344575,5.179506577044606,0.31453506705109663,0.35285714285714287,0.0017619047619047618,2.0452296421327034,0.002977494696900799,0.057425983783428516,0.8911325618088278,0.9033118826356167,5.062057252782106,5.296955901307106,0.9,0.002777777777777768
s019,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.1,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.2354959177481324,0.8948333333333334,0.017344547654330262,0.9338905273910779,0.02795471835881839,0.3129047619047619,0.21221428571428572,2.0452296421327034,0.003166666666666667,0.005103809944609543,0.8883567727999131,0.9013098938667536,0.9234520640045508,0.944328990777605,0.9,0.005166666666666653
s020,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.1,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.7533478769755357,0.8989444444444444,0.015139728086691406,1.454110565048358,0.04067602094862496,0.18192857142857144,0.0795952380952381,2.0452296421327034,0.002764123529191804,0.007426391407704858,0.8932911770680249,0.904597711820864,1.4389218892072404,1.4692992408894754,0.9,0.0010555555555555873
