tau_quantile,method_id,method_label,estimator_family,working_model,spec_status,is_conformal,n,test_frac,p,beta_scale,gamma,kappa,cens_target,alpha,B,n_rep,tau_mean,tau_sd,censor_rate_emp_mean,admin_mass_emp_mean,coverage_mean,coverage_sd,length_mean,length_sd,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
0.8,plugin_lognormal,Log-Normal Plug-in,plug-in,Log-Normal,misspecified,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,1.59213192465835,0.04459058054545225,0.3272857142857143,0.1255,0.9071111111111111,0.014012401002848285,1.429928980345638,0.04252609659631858,2.0452296421327034,0.002558302704689339,0.007764167462815784,0.9018787945859322,0.91234342763629,1.414049474904205,1.4458084857870712,0.9,0.007111111111111068
0.8,plugin_weibull,Weibull Plug-in,plug-in,Weibull,correct,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,1.59213192465835,0.04459058054545225,0.3272857142857143,0.1255,0.9000555555555556,0.014499856871623721,1.4237746049667985,0.041964017276923886,2.0452296421327034,0.0026472995630615337,0.007661546288702576,0.8946412200175772,0.905469891093534,1.4081049833925723,1.4394442265410248,0.9,5.5555555555586444e-5
0.9,cp_cox,CP + Cox,conformal,Cox,correct,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,2.313193547288862,0.06362900043706264,0.25616666666666665,0.0545,0.8960555555555556,0.016565690281672586,2.1400895557833333,0.05969035174741684,2.0452296421327034,0.0030244674159720614,0.010897917372492703,0.889869825144745,0.9022412859663662,2.1178008121355982,2.1623782994310683,0.9,0.003944444444444417
0.9,cp_lognormal,CP + Log-Normal,conformal,Log-Normal,misspecified,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,2.313193547288862,0.06362900043706264,0.25616666666666665,0.0545,0.9006666666666666,0.016280585716256277,2.1434501660423777,0.06256804635328718,2.0452296421327034,0.0029724146820633217,0.011423310122241412,0.8945873960502002,0.906745937283133,2.120086873569095,2.1668134585156604,0.9,6.666666666665932e-4
0.9,cp_weibull,CP + Weibull,conformal,Weibull,correct,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,2.313193547288862,0.06362900043706264,0.25616666666666665,0.0545,0.8952222222222223,0.015996487481621725,2.1394498376927484,0.06332736052912617,2.0452296421327034,0.002920545678177742,0.011561941289688233,0.8892490356300106,0.9011954088144339,2.11580301264648,2.163096662739017,0.9,0.00477777777777777
0.9,plugin_cox,Cox Plug-in,plug-in,Cox,correct,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,2.313193547288862,0.06362900043706264,0.25616666666666665,0.0545,0.8968888888888888,0.015020632893322576,2.1423562692911946,0.0609967841914931,2.0452296421327034,0.0027423798212256214,0.011136438212318429,0.8912800923885317,0.902497685389246,2.1195796957515816,2.1651328428308076,0.9,0.0031111111111111756
0.9,plugin_lognormal,Log-Normal Plug-in,plug-in,Log-Normal,misspecified,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,2.313193547288862,0.06362900043706264,0.25616666666666665,0.0545,0.9025555555555556,0.016392768551767762,2.147867347677529,0.05984186648588798,2.0452296421327034,0.002992896371921499,0.010925580052511085,0.8964343951798703,0.9086767159312408,2.1255220274966398,2.1702126678584186,0.9,0.002555555555555533
0.9,plugin_weibull,Weibull Plug-in,plug-in,Weibull,correct,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,2.313193547288862,0.06362900043706264,0.25616666666666665,0.0545,0.8980555555555556,0.015456547257683114,2.1429004999424026,0.06021865814071521,2.0452296421327034,0.0028219665313925523,0.01099437248212061,0.8922839859564452,0.903827125154666,2.1204144834453214,2.165386516439484,0.9,0.0019444444444444153
0.99,cp_cox,CP + Cox,conformal,Cox,correct,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,4.911421571873311,0.34711155194313564,0.20373809523809525,0.0031190476190476194,0.8941666666666667,0.019207228444548495,4.740433109317723,0.3496115758481326,2.0452296421327034,0.0035067440954113585,0.06383004881898352,0.8869945696953575,0.9013387636379758,4.609886001414361,4.870980217221086,0.9,0.005833333333333357
0.99,cp_lognormal,CP + Log-Normal,conformal,Log-Normal,misspecified,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,4.911421571873311,0.34711155194313564,0.20373809523809525,0.0031190476190476194,0.8966111111111111,0.015941003139650273,4.742008403430749,0.3449034378597661,2.0452296421327034,0.00291041566961571,0.06297046435895841,0.8906586427126856,0.9025635795095367,4.613219343144946,4.870797463716551,0.9,0.0033888888888888857
0.99,cp_weibull,CP + Weibull,conformal,Weibull,correct,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,4.911421571873311,0.34711155194313564,0.20373809523809525,0.0031190476190476194,0.897,0.016484057083468083,4.7425440211622005,0.3471626969165443,2.0452296421327034,0.0030095633012727626,0.06338294674184015,0.8908447519263623,0.9031552480736378,4.61291133968007,4.872176702644331,0.9,0.0030000000000000027
0.99,plugin_cox,Cox Plug-in,plug-in,Cox,correct,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,4.911421571873311,0.34711155194313564,0.20373809523809525,0.0031190476190476194,0.8951111111111111,0.015148899112368872,4.7424572682577555,0.34803112487380894,2.0452296421327034,0.0027657979217381398,0.06354149926909415,0.8894544192174232,0.900767803004799,4.612500310447051,4.87241422606846,0.9,0.004888888888888943
0.99,plugin_lognormal,Log-Normal Plug-in,plug-in,Log-Normal,misspecified,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,4.911421571873311,0.34711155194313564,0.20373809523809525,0.0031190476190476194,0.8975,0.01603844757968437,4.744634562923498,0.34968622079883827,2.0452296421327034,0.0029282065089190883,0.0638436770600853,0.8915111452496727,0.9034888547503273,4.614059582137464,4.8752095437095315,0.9,0.0025000000000000577
0.99,plugin_weibull,Weibull Plug-in,plug-in,Weibull,correct,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,4.911421571873311,0.34711155194313564,0.20373809523809525,0.0031190476190476194,0.89655555555555555,0.015117251400654818,4.743599558203748,0.34903814457561666,2.0452296421327034,0.002760019866538404,0.06372535507127156,0.8909106811116361,0.902200429999475,4.613266573056552,4.873932543350944,0.9,0.003444444444444472
