setting_id,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,method_id,method_label,n,test_frac,alpha,B,n_rep,tau_mean,coverage_mean,coverage_sd,length_mean,length_sd,censor_rate_emp_mean,admin_mass_emp_mean,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
s011,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.1,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.9093000337112036,0.8958333333333334,0.01599059829138594,2.7052726388194106,0.10884207445892242,0.17307142857142857,0.0735,2.0452296421327034,0.002919470464065216,0.019871753128936236,0.8898623458008963,0.9018043208657704,2.664630340278967,2.745914937359854,0.9,0.004166666666666652
s012,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.1,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,5.400181145392187,0.8933333333333333,0.021140834087149507,5.189075203005751,0.33921495849260225,0.11897619047619047,0.01730952380952381,2.0452296421327034,0.0038597705713353074,0.06193189486985896,0.8854392161490069,0.9012274505176597,5.062410255824469,5.3157401501870325,0.9,0.00666666666666671
s013,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.2,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.5088459248726556,0.9055,0.016064703938874127,1.3081712020234535,0.05185709227010152,0.35983333333333334,0.1611190476190476,2.0452296421327034,0.002933000242321151,0.009467766400987128,0.8995013409640223,0.9114986590359776,1.2888074455353666,1.3275349585115404,0.9,0.005499999999999949
s014,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.2,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.903657832522302,0.8965,0.013877888363890704,2.698218602563795,0.13283963322991219,0.24721428571428572,0.04823809523809524,2.0452296421327034,0.002533744169147134,0.024253087883578585,0.8913179113196793,0.9016820886803206,2.6486154683110508,2.7478217368165394,0.9,0.0035000000000000586
s015,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.2,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,5.364054264813009,0.9011666666666667,0.0170594520490712,5.15526356934701,0.32908531151407144,0.20866666666666667,0.009404761904761905,2.0452296421327034,0.0031146155686513416,0.060082482819957164,0.894796562581813,0.9075367707515204,5.032381094510705,5.278146044183315,0.9,0.0011666666666666492
s016,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.35,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.5263485399802315,0.8965,0.017525842987251513,1.3151444810991901,0.05985534360518317,0.44985714285714284,0.09847619047619048,2.0452296421327034,0.00319976651447046,0.010928040626593806,0.8899557426767013,0.9030442573232986,1.2927941284792501,1.3374948337191301,0.9,0.0035000000000000586
s017,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.35,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.908770515268877,0.9025555555555556,0.019061974612235147,2.7046981627940876,0.0886160019929148,0.3707857142857143,0.021547619047619048,2.0452296421327034,0.0034802244952373274,0.016178994415814066,0.8954376972566198,0.9096734138544913,2.671608403834965,2.73778792175321,0.9,0.002555555555555533
s018,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.35,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,5.408258669767054,0.8969444444444444,0.01638897006279009,5.195673257403548,0.2983900138435896,0.35285714285714287,0.0017857142857142857,2.0452296421327034,0.0029922028658889966,0.05447831383880427,0.8908247024478538,0.903064186441035,5.084252595087017,5.307093919720078,0.9,0.003055555555555589
s019,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.1,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.2356430347894765,0.8937777777777778,0.01671219834239363,0.9328266501552309,0.028440894696763395,0.312952380952381,0.212,2.0452296421327034,0.003051216005876479,0.0051925731936821205,0.8875373403580095,0.9000182151975461,0.9222066455405685,0.9434466547698933,0.9,0.00622222222222224
s020,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.1,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.7543400273439427,0.8988333333333334,0.015042404939375652,1.4550933232328152,0.040576559379160285,0.18176190476190476,0.07976190476190476,2.0452296421327034,0.002746354834807725,0.007408232292637968,0.8932164070173702,0.9044502596492966,1.4399417869521072,1.4702448595135231,0.9,0.0011666666666666492
