method_id,method_label,coverage,mean_len,sd_len,scenario_id,scenario_label,rep,seed,tau_quantile,tau,n,test_frac,p,beta_scale,sigma,cens_target,alpha,B,n_folds,censor_rate_emp,admin_mass_emp
cp_cox_full,CP + Cox,0.8766666666666667,1.1031624528703632,0.20484543438781036,aft_lognormal_linear,Log-Normal AFT (Linear),22,28260436,0.7,1.5588938601144826,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4235714285714286,0.18571428571428572
cp_cox_crossfit,CP + Cox (Cross-Fit),0.885,1.1118059936985372,0.19934767929033156,aft_lognormal_linear,Log-Normal AFT (Linear),22,28260436,0.7,1.5588938601144826,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4235714285714286,0.18571428571428572
cp_cox_full,CP + Cox,0.925,1.1842026289249858,0.196487402993565,aft_lognormal_linear,Log-Normal AFT (Linear),23,28260437,0.7,1.6193977939882616,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4092857142857143,0.21428571428571427
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9216666666666666,1.1772269757956229,0.20006314161537136,aft_lognormal_linear,Log-Normal AFT (Linear),23,28260437,0.7,1.6193977939882616,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4092857142857143,0.21428571428571427
cp_cox_full,CP + Cox,0.875,1.1063293446825317,0.21532994950655845,aft_lognormal_linear,Log-Normal AFT (Linear),24,28260438,0.7,1.5656106831465966,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4157142857142857,0.20785714285714285
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9016666666666666,1.1603449979261717,0.17900668994245236,aft_lognormal_linear,Log-Normal AFT (Linear),24,28260438,0.7,1.5656106831465966,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4157142857142857,0.20785714285714285
cp_cox_full,CP + Cox,0.8783333333333333,1.0954231901881406,0.20910609791725643,aft_lognormal_linear,Log-Normal AFT (Linear),25,28260439,0.7,1.56520915429905,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3921428571428571,0.19428571428571428
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8816666666666667,1.104671847978264,0.20426713351314926,aft_lognormal_linear,Log-Normal AFT (Linear),25,28260439,0.7,1.56520915429905,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3921428571428571,0.19428571428571428
cp_cox_full,CP + Cox,0.9166666666666666,1.1639612805458228,0.19339682391462798,aft_lognormal_linear,Log-Normal AFT (Linear),26,28260440,0.7,1.5847896552507434,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.41214285714285714,0.2007142857142857
cp_cox_crossfit,CP + Cox (Cross-Fit),0.92,1.1700926025638523,0.18981667671180724,aft_lognormal_linear,Log-Normal AFT (Linear),26,28260440,0.7,1.5847896552507434,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.41214285714285714,0.2007142857142857
cp_cox_full,CP + Cox,0.895,1.1181635225118685,0.19819432536474646,aft_lognormal_linear,Log-Normal AFT (Linear),27,28260441,0.7,1.5376664773904274,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.42428571428571427,0.22285714285714286
